Province/State,Date,Cumulative Cases,Cumulative Tests,Daily Cases,Daily Tests,7 day daily case moving average,14 day daily case moving average,7 day daily test moving average,14 day daily test moving average
VIC,2020-09-27,20464,2687746,4,10680,14,20,12362,12373
WA,2020-09-27,753,481393,0,4089,2,2,3103,3224
ACT,2020-09-28,122,94560,0,266,0,0,462,426
NSW,2020-09-28,4518,2678745,2,6353,2,3,12328,13471
NT,2020-09-28,33,46647,0,285,0,0,369,393
QLD,2020-09-28,1176,1075383,0,1871,1,1,4578,5286
SA,2020-09-28,507,447822,0,1259,0,0,2568,2757
TAS,2020-09-28,266,107329,0,258,0,0,478,498
VIC,2020-09-28,20473,2694553,9,6807,12,18,12311,12220
WA,2020-09-28,753,485482,0,4089,2,2,3288,2993
ACT,2020-09-29,122,94951,0,391,0,0,433,415
NSW,2020-09-29,4522,2685126,4,6381,2,3,12152,13296
NT,2020-09-29,33,47097,0,450,0,0,393,404
QLD,2020-09-29,1176,1079751,0,4368,1,1,4503,5246
SA,2020-09-29,507,450457,0,2635,0,0,2639,2756
TAS,2020-09-29,266,107613,0,284,0,0,451,480
VIC,2020-09-29,20484,2702779,11,8226,10,16,11897,12179
WA,2020-09-29,761,488757,8,3275,3,2,3117,3012
ACT,2020-09-30,122,95431,0,480,0,0,405,424
NSW,2020-09-30,4525,2698701,3,13575,2,3,11697,12868
NT,2020-09-30,33,47411,0,314,0,0,358,393
QLD,2020-09-30,1176,1086540,0,6789,1,0,4776,5272
SA,2020-09-30,507,453507,0,3050,0,0,2995,2740
TAS,2020-09-30,266,108212,0,599,0,0,443,479
VIC,2020-09-30,20498,2720716,14,17937,11,15,12211,12434
WA,2020-09-30,762,494084,1,5327,3,2,3510,3203
ACT,2020-10-01,122,95888,0,457,0,0,388,428
NSW,2020-10-01,4529,2711773,4,13072,2,2,11080,12343
NT,2020-10-01,33,47949,0,538,0,0,358,374
QLD,2020-10-01,1179,1092298,3,5758,1,1,4558,4851
SA,2020-10-01,507,456497,0,2990,0,0,2600,2698
TAS,2020-10-01,266,108847,0,635,0,0,434,478
VIC,2020-10-01,20504,2735425,6,14709,10,13,12407,12467
WA,2020-10-01,762,498173,0,4089,3,2,3800,3306
ACT,2020-10-02,122,96371,0,483,0,0,395,429
NSW,2020-10-02,4530,2723116,1,11343,2,2,10745,11950
NT,2020-10-02,33,48329,0,380,0,0,358,386
QLD,2020-10-02,1179,1097554,0,5256,1,1,4592,4816
SA,2020-10-02,509,459757,2,3260,0,0,2631,2692
TAS,2020-10-02,266,109441,0,594,0,0,433,492
VIC,2020-10-02,20512,2747975,8,12550,10,12,12419,12227
WA,2020-10-02,763,501236,1,3063,3,2,3828,3347
ACT,2020-10-03,122,96709,0,338,0,0,385,422
NSW,2020-10-03,4532,2733450,2,10334,2,2,10470,11600
NT,2020-10-03,33,48734,0,405,0,0,362,381
QLD,2020-10-03,1179,1102221,0,4667,0,1,4536,4664
SA,2020-10-03,509,462352,0,2595,0,0,2537,2637
TAS,2020-10-03,266,109974,0,533,0,0,463,475
VIC,2020-10-03,20524,2759256,12,11281,9,12,11741,12179
WA,2020-10-03,763,504299,0,3063,1,2,3856,3376
ACT,2020-10-04,122,96962,0,253,0,0,381,418
NSW,2020-10-04,4533,2741755,1,8305,2,2,9909,11219
NT,2020-10-04,33,48884,0,150,0,0,360,374
QLD,2020-10-04,1179,1104982,0,2761,0,0,4496,4597
SA,2020-10-04,510,464744,1,2392,0,0,2597,2634
TAS,2020-10-04,266,110307,0,333,0,0,462,479
VIC,2020-10-04,20535,2771250,11,11994,10,12,11929,12145
WA,2020-10-04,763,507362,0,3063,1,2,3710,3406
